Date,SMB %,HML %,WML %,Rm %,Rf %,Rm-Rf %
19940803,-0.39713626,-0.44856991,0.23421697,-0.89886289,0.03355822,-0.93242111
19940804,-0.07261471,0.36483915,0.02059936,0.27725787,0.03355822,0.24369965
19940805,2.018224,-0.38596796,-0.28881127,0.6351763,0.03355822,0.60161808
19940808,0.24664619,-0.09435731,1.12109785,0.0576215,0.0317143,0.0259072
19940809,0.11200855,0.36748048,-2.13962372,0.15997367,0.0317143,0.12825937
19940810,-0.12608386,-0.55340132,0.46780718,0.48685885,0.0317143,0.45514455
19940811,0.5480788,-0.42885232,0.06410783,0.64319072,0.0317143,0.61147642
19940812,0.51634848,-0.78286633,-0.29687135,2.49432278,0.0317143,2.46260848
19940816,0.59363576,-0.96279746,-1.80958961,1.12432035,0.03078916,1.09353119
19940817,0.30503044,-0.36138711,-0.08809056,-0.15191483,0.03078916,-0.18270399
19940818,-1.06440188,1.44411358,-1.84715322,-0.43288126,0.03078916,-0.46367042
19940819,-0.06128553,-0.59043015,0.13260738,-0.83913589,0.03078916,-0.86992505
19940824,1.51635894,-0.99143516,0.1591652,-0.34296014,0.03078916,-0.3737493
19940825,-0.34489227,0.15498398,1.10234186,-0.32034853,0.03078916,-0.35113769
19940829,0.19054968,0.63188265,-2.92648495,2.39579754,0.03108543,2.36471211
19940831,0.89252025,0.82350726,2.02031275,1.35838425,0.03108543,1.32729882
19940901,0.89750383,-0.70407944,0.09260064,-0.29364993,0.03108543,-0.32473536
19940902,0.16663207,-0.33601398,0.56057462,-0.49526266,0.03108543,-0.52634809
19940905,0.57269246,-0.01514026,0.36491323,-0.70570709,0.03108543,-0.73679252
19940906,-0.11002222,0.33996555,-0.17684073,0.17016394,0.03108543,0.13907851
19940907,0.0095455,0.33474629,-0.1293966,0.35251404,0.03108543,0.32142861
19940908,0.27171143,0.18726219,0.52127781,0.07121412,0.03108543,0.04012869
19940912,1.21819472,0.78245589,-0.30502696,2.17663472,0.03108543,2.14554929
19940913,0.94189907,0.49331161,0.0528842,0.04067136,0.03108543,0.00958593
19940914,-0.48860981,0.06023242,-0.59771691,-0.077203,0.03108543,-0.10828843
19940915,-1.4457297,0.70740714,-0.08278722,-0.41359039,0.03108543,-0.44467582
19940916,0.40872538,-0.54099598,0.60179974,0.22469644,0.03108543,0.19361101
19940919,0.34092766,1.16701208,-0.30917198,-0.76170907,0.03230528,-0.79401435
19940920,0.47124406,-0.02299803,0.17310089,-1.31150159,0.03230528,-1.34380687
19940921,0.02835979,-0.54282722,-0.41508379,-0.84624912,0.03230528,-0.8785544
19940922,0.26721104,1.024718,0.77815424,-0.42534262,0.03230528,-0.4576479
19940923,1.06614344,-0.67347258,-0.34762396,0.9986148,0.03230528,0.96630952
19940927,0.39647545,-0.11038449,0.41830145,-0.67868394,0.03477059,-0.71345453
19940928,0.17877933,0.13148263,0.14138491,-0.70447749,0.03477059,-0.73924808
19940929,-0.73778005,0.21484495,-0.5108104,-0.50881437,0.03477059,-0.54358496
19940930,-0.6641989,-0.23800783,-0.42307572,-2.27092828,0.03477059,-2.30569887
19941003,-1.5824537,1.57773367,0.09712499,0.18223628,0.03477059,0.14746569
19941004,-0.69346359,1.48423657,0.40743288,0.63845985,0.03477059,0.60368926
19941005,0.70766401,0.03923881,0.7496072,-0.10759319,0.03477059,-0.14236378
19941006,-0.09419553,-0.23621993,0.2707211,0.4310527,0.03477059,0.39628211
19941007,0.9992524,1.28029199,0.52194253,1.46627671,0.03477059,1.43150612
19941010,0.4164508,0.43291046,-0.18105475,-0.2312716,0.03524719,-0.26651879
19941011,-0.43314139,0.38193264,0.35975089,-0.11677937,0.03524719,-0.15202656
19941012,-0.11459169,0.8943385,-0.02710764,-0.55239156,0.03524719,-0.58763875
19941014,1.78004956,1.21141682,0.39819598,0.67367592,0.03524719,0.63842873
19941017,1.29273263,-0.20133006,0.14043334,-0.03164371,0.03524719,-0.0668909
19941018,1.16511969,0.13537329,-0.35988669,-0.25569095,0.03524719,-0.29093814
19941019,0.47941463,0.25678904,0.16659007,-0.23440582,0.03524719,-0.26965301
19941020,0.56461869,0.16186351,0.2916395,-0.27050809,0.03524719,-0.30575528
19941021,0.18150692,-0.15228515,0.19635987,0.29096405,0.03524719,0.25571686
19941024,0.56355344,-0.26295539,0.64625976,-0.04452134,0.03263732,-0.07715866
19941025,0.20534788,-0.17904274,-0.62451713,0.38746012,0.03263732,0.3548228
19941026,-0.42085083,0.29881756,0.0354969,0.0966188,0.03263732,0.06398148
19941027,0.02394916,0.65297852,0.02265902,-0.65202498,0.03263732,-0.6846623
19941028,0.6112676,-0.85346027,-0.04539027,-1.07381345,0.03263732,-1.10645077
19941031,-0.85936543,1.12740016,-0.13807882,-0.47185136,0.0320099,-0.50386126
19941107,1.40628557,1.2347345,0.55637393,1.68328599,0.03186213,1.65142386
19941108,0.45572614,0.69918346,0.34243286,-0.10233927,0.03186213,-0.1342014
19941109,1.58210337,-0.75598045,-0.62638026,-0.94350653,0.03186213,-0.97536866
19941110,-0.05529543,0.11660031,0.13303455,-0.99077091,0.03186213,-1.02263304
19941111,0.11418668,-0.27024821,-0.38648113,-0.93646635,0.03186213,-0.96832848
19941114,-0.56157369,0.66248707,-0.96019688,-1.08259744,0.0317143,-1.11431174
19941115,-1.04319045,0.4699181,-0.12592265,-0.57353306,0.0317143,-0.60524736
19941116,-0.65355763,-0.42867035,0.26454368,0.86686346,0.0317143,0.83514916
19941117,-0.02723214,0.16485246,-0.1254388,0.97871869,0.0317143,0.94700439
19941121,1.07363016,0.47956393,0.47718608,0.73422789,0.03293224,0.70129565
19941122,1.45833946,0.0767749,-0.45409626,-0.11274407,0.03293224,-0.14567631
19941123,0.23617386,-0.08787678,0.33882586,-0.57220649,0.03293224,-0.60513873
19941124,-0.53110901,-0.36350566,0.06056956,0.02507068,0.03293224,-0.00786156
19941125,0.0643542,0.75895318,0.62937698,0.92389364,0.03293224,0.8909614
19941129,-0.16133335,0.78132881,0.03735649,0.63237334,0.03355822,0.59881512
19941130,0.00899498,0.73501737,-0.71852072,0.09560701,0.03355822,0.06204879
19941201,0.51258725,-0.28216365,-0.05190083,-0.67508647,0.03355822,-0.70864469
19941202,0.56665171,0.99774079,-0.10443759,-0.0870907,0.03355822,-0.12064892
19941205,0.09615932,-0.76845745,0.33853752,-0.76553112,0.03447702,-0.80000814
19941206,-0.50875643,0.33267951,-0.09913514,-1.18843486,0.03447702,-1.22291188
19941207,0.25677042,-0.40911502,-0.65258388,-2.10473576,0.03447702,-2.13921278
19941208,-0.1601538,-0.00250648,0.4427969,-1.06682953,0.03447702,-1.10130655
19941209,0.36751015,-1.48758972,-0.77750287,-0.02869835,0.03447702,-0.06317537
19941212,-0.596316,0.0398715,-0.54478467,-1.94122527,0.035833,-1.97705827
19941213,-0.54894915,-0.7054781,-0.58518733,-1.55327084,0.035833,-1.58910384
19941214,-0.79317881,0.70568153,0.3729648,0.45752012,0.035833,0.42168712
19941215,-0.24293449,0.05144763,0.32667034,0.90358134,0.035833,0.86774834
19941216,0.46558092,0.13943331,0.72252826,1.4486764,0.035833,1.4128434
19941219,0.43820456,-0.02440568,0.23948994,0.05518838,0.03754888,0.0176395
19941220,-0.23600802,0.66634459,0.50573407,-0.53737902,0.03754888,-0.5749279
19941221,-0.29612276,-0.47976137,0.13135882,0.19437137,0.03754888,0.15682249
19941222,0.47335568,0.22724223,0.23015054,-0.19453465,0.03754888,-0.23208353
19941223,0.2975135,0.5851213,0.07485673,0.50893073,0.03754888,0.47138185
19950102,0.56910477,-0.36678406,-0.46640309,-0.19827459,0.03907604,-0.23735063
19950103,0.44022994,-0.54008295,0.07236165,-0.14906788,0.03907604,-0.18814392
19950104,-0.24698331,-0.01601349,0.42531802,-0.93454559,0.03907604,-0.97362163
