Date,SMB,HML,WML,Ret,Ret_rf,Ret_ex
20190920,-2.65372058,-0.76111804,-1.1320391,4.94501327,0.02058343,4.92442984
20190923,0.05711535,-1.3670464,1.63694427,2.41851962,0.02058343,2.39793619
20190924,0.55342725,-0.99727676,-0.60424614,-0.1165698,0.02058343,-0.13715323
20190925,0.58161635,-1.11749693,1.36768413,-1.19177237,0.02058343,-1.2123558
20190926,-0.79061382,0.06757946,0.90479104,1.07380418,0.02107715,1.05272703
20190927,0.22464683,-0.72400057,2.11047796,-0.48503453,0.02107715,-0.50611168
20190930,-0.55551056,-1.5720084,4.48466249,-0.45812639,0.02107715,-0.47920354
20191001,-0.2370618,-0.72580407,3.01639979,-1.25684103,0.02107715,-1.27791818
20191003,-0.56951077,-0.39298746,-1.14395735,-0.38480266,0.02073541,-0.40553807
20191004,0.2724486,0.33093348,0.41991949,-0.995393,0.02073541,-1.01612841
20191007,-0.4621906,-0.37663311,0.47823315,-0.65886305,0.02073541,-0.67959846
20191009,-1.30088039,-0.85369627,-0.05397245,1.19106929,0.02073541,1.17033388
20191010,-0.6367458,-0.76431403,1.17764574,-0.49315655,0.0202793,-0.51343585
20191011,-0.57714304,-0.8053248,0.42696674,0.47345124,0.0202793,0.45317194
20191014,-0.53883071,-0.46789949,-0.64148968,0.47343341,0.0202793,0.45315411
20191015,-1.06789926,-1.17846517,0.861337,0.69657818,0.0202793,0.67629888
20191016,-0.12921306,-0.77188349,-0.94423572,0.40656918,0.0202793,0.38628988
20191017,-0.51830468,-0.40221793,-2.87947576,1.21400469,0.01997494,1.19402975
20191018,0.62895579,0.6732477,-1.29002608,1.14045653,0.01997494,1.12048159
20191022,0.81754214,0.55561536,0.47136067,-0.14254956,0.01997494,-0.1625245
20191023,0.17452787,0.36886529,0.90280054,0.12723991,0.01997494,0.10726497
20191024,-0.26543744,-0.02326557,1.73341347,-0.19775067,0.01982268,-0.21757335
20191025,-0.59464702,-0.58040703,0.16845608,0.03188047,0.01982268,0.01205779
20191027,0.84098693,0.63704356,-2.47771711,0.54907808,0.01982268,0.5292554
20191029,-0.52497508,-0.24155682,-3.52895823,1.27671991,0.01982268,1.25689723
20191030,-0.02301412,0.67517266,-0.62409892,0.64620186,0.01982268,0.62637918
20191031,0.21314357,0.43799943,-1.96269183,0.54517818,0.01967035,0.52550783
20191101,0.70043174,1.10787498,-2.59540808,0.00631946,0.01967035,-0.01335089
20191104,0.34699104,0.6114182,-0.64962607,0.1825148,0.01967035,0.16284445
20191105,-0.38273198,0.07578146,0.91797174,-0.38996922,0.01967035,-0.40963957
20191106,0.0604395,0.33742421,-0.30670604,-0.00174526,0.01967035,-0.02141561
20191107,-0.00781672,0.02218374,-0.05157923,0.3625296,0.01963226,0.34289734
20191108,0.80052887,0.58379978,-0.10699301,-1.02438053,0.01963226,-1.04401279
20191111,-0.09761018,-0.09023931,-1.35491099,0.08054969,0.01963226,0.06091743
